productId,name,description,size,color,gender,price,createdAt,categoryId,image
1,Casual Shirt,Comfortable cotton shirt for everyday wear,M,Blue,Men,29.99,2024-06-28 20:11:06.870791,1,https://i.ibb.co/QP29Svp/1.webp
2,Formal Blouse,Elegant blouse suitable for formal occasions,S,White,Women,39.99,2024-06-28 20:11:06.870791,1,https://i.ibb.co/k3K2ZSh/2.webp
3,Striped Polo,Casual polo shirt with stripes pattern,L,Red/White,Children,24.99,2024-06-28 20:11:06.870791,1,https://i.ibb.co/q0qXhTY/3.webp
4,Checked Button-down,Casual checked button-down shirt for a versatile look,XL,Green/Blue,Men,27.99,2024-06-28 20:11:06.870791,1,https://i.ibb.co/SPvCYSb/19.webp
5,Kids Graphic Tee,Fun graphic tee for kids with playful design,S,Green,Children,19.99,2024-06-28 20:11:06.870791,1,https://i.ibb.co/GCQwtWc/20.webp
6,Graphic Tee,Stylish graphic t-shirt for casual wear,L,Black,Men,19.99,2024-06-28 20:11:06.870791,1,https://i.ibb.co/SVdsWZC/21.webp
7,Silk Top,Chic silk top for an elegant look,M,Beige,Women,49.99,2024-06-28 20:11:06.870791,1,https://i.ibb.co/5smg48K/22.webp
8,Leather Jacket,Classic leather jacket for a stylish look,XL,Black,Men,149.99,2024-06-28 20:11:06.870791,2,https://i.ibb.co/t4Mp81g/4.webp
9,Denim Jacket,Casual denim jacket for a laid-back style,M,Blue,Women,79.99,2024-06-28 20:11:06.870791,2,https://i.ibb.co/hyVj4WJ/5.webp
10,Windbreaker,Lightweight windbreaker for outdoor activities,L,Green,Children,54.99,2024-06-28 20:11:06.870791,2,https://i.ibb.co/RgDWmp5/6.webp
11,Quilted Bomber Jacket,Quilted bomber jacket for a sporty yet stylish appearance,M,Blue,Men,89.99,2024-06-28 20:11:06.870791,2,https://i.ibb.co/p2g6cxW/23.webp
12,Faux Fur Coat,Chic faux fur coat to stay warm in winter,S,Pink,Women,129.99,2024-06-28 20:11:06.870791,2,https://i.ibb.co/CBV6xkZ/24.webp
13,Kids Hooded Jacket,Hooded jacket for kids to stay cozy in colder weather,L,Purple,Children,44.99,2024-06-28 20:11:06.870791,2,https://i.ibb.co/cYm5GZV/25.webp
14,Slim Fit Jeans,Trendy slim fit jeans for a modern look,32x30,Dark Blue,Men,49.99,2024-06-28 20:11:06.870791,3,https://i.ibb.co/BsL5sFB/7.webp
15,Cargo Pants,Comfortable cargo pants with multiple pockets,28x32,Khaki,Women,39.99,2024-06-28 20:11:06.870791,3,https://i.ibb.co/Br74zfP/8.webp
16,Athletic Joggers,Athletic jogger pants for a sporty style,XL,Gray,Children,29.99,2024-06-28 20:11:06.870791,3,https://i.ibb.co/y4jpXXD/9.webp
